fold,model,n,log_loss,brier,ece,start,end,n_valid,logloss
fold1_2015,gbdt,106846.0,0.021711679367412362,0.006639650030559707,0.0015745317986361007,,,,
fold1_2015,elo,106846.0,0.6761900635303522,0.24156860840573013,0.005735653562929599,,,,
fold1_2015,gbdt,,,,,2015-01-01,2015-12-31,106846.0,0.021711679367412362
fold1_2015,elo,,,,,2015-01-01,2015-12-31,106846.0,0.6761900635303522
fold2_2016,gbdt,109805.0,0.019198044344930425,0.005522293381461262,0.0033433325322894452,,,,
fold2_2016,elo,109805.0,0.6800497150160316,0.24347509039116327,0.013815332476491249,,,,
fold2_2016,gbdt,,,,,2016-01-01,2016-12-31,109805.0,0.019198044344930425
fold2_2016,elo,,,,,2016-01-01,2016-12-31,109805.0,0.6800497150160316
fold3_2017,gbdt,104495.0,0.016808064014523588,0.00507419619384209,0.002080093876850416,,,,
fold3_2017,elo,104495.0,0.682396021162042,0.24463698832719882,0.016982229213443056,,,,
fold3_2017,gbdt,,,,,2017-01-01,2017-12-31,104495.0,0.016808064014523588
fold3_2017,elo,,,,,2017-01-01,2017-12-31,104495.0,0.682396021162042
